fecha_o_bloque,producto_id_temporal,codigo,descripcion,tipo_movimiento,cantidad,hoja_origen,fila_origen,columna_origen
Diciembre TOTAL,H2-R6573,PSK-017,PORTA ENGRANE DE NITROXX-200,entrada,4,Hoja 2,6573,U
Diciembre TOTAL,H2-R6574,PSCN36,PORTA ENGRANE DE VORTX200,entrada,1,Hoja 2,6574,U
Diciembre TOTAL,H2-R6575,PICA-010/3239RPF,PORTA ENGRANE DE ROCKETMAN  250 Y CROSSMAX 250,entrada,4,Hoja 2,6575,U
Diciembre TOTAL,H2-R6577,POR-MT342,PORTA ENGRANE DE DINAMO U2,entrada,4,Hoja 2,6577,U
Diciembre TOTAL,H2-R6578,PSK-012,PORTA ENGRANE DE DM250,entrada,3,Hoja 2,6578,U
Diciembre TOTAL,H2-R6579,PICA-005/3240RPPF-25,PORTA ENGRANE DE 250Z 250SZ,entrada,4,Hoja 2,6579,U
Diciembre TOTAL,H2-R6580,43-5648-001,PORTA ENGRANE DE 150Z CON ESTRELLA,entrada,3,Hoja 2,6580,U
Diciembre TOTAL,H2-R6581,PSK-006,PORTA ENGRANE DE  125-Z  RT200 EX200 150Z,entrada,4,Hoja 2,6581,U
Diciembre TOTAL,H2-R6582,REM1726,PORTA ENGRANE DE 110  ARGENTA,entrada,3,Hoja 2,6582,U
Diciembre TOTAL,H2-R6583,73-810,PORTA ENGRANE DE NS200,entrada,2,Hoja 2,6583,U
Diciembre 4,H2-R6584,REM3322,PORTA ENGRANE DE FZ16,salida,1,Hoja 2,6584,L
Diciembre TOTAL,H2-R6584,REM3322,PORTA ENGRANE DE FZ16,entrada,2,Hoja 2,6584,U
Diciembre TOTAL,H2-R6586,PSK-001,PORTA ENGRANE DE 250Z,entrada,5,Hoja 2,6586,U
Diciembre TOTAL,H2-R6587,PSK-011,PORTA ENGRANE DE DT125 DT150 FT150S FT150TS,entrada,3,Hoja 2,6587,U
Diciembre TOTAL,H2-R6588,PSK-016,PORTA ENGRANE DE CRIPTON 110,entrada,2,Hoja 2,6588,U
Diciembre TOTAL,H2-R6589,PSK-007,PORTA ENGRANE DE 70 Y 90,entrada,3,Hoja 2,6589,U
Diciembre TOTAL,H2-R6590,REM167,PORTA ENGRANE DE 70,entrada,3,Hoja 2,6590,U
Diciembre TOTAL,H2-R6591,PSK-003,PORTA ENGRANE DE CARGO 150,entrada,2,Hoja 2,6591,U
Diciembre TOTAL,H2-R6593,43-5582,PORTA ENGRANE DE FT110,entrada,2,Hoja 2,6593,U
Diciembre TOTAL,H2-R6594,PICA-044,"PORTA ENGRANE DE 125Z,150Z,170Z,200Z",entrada,4,Hoja 2,6594,U
Diciembre TOTAL,H2-R6595,PICA-004/354RPF,PORTA ENGRANE DE FT125 CON BALEROS,entrada,2,Hoja 2,6595,U
Diciembre 2,H2-R6596,POR-MT340,PORTA ENGRANE DE FT125 CON BALEROS,entrada,3,Hoja 2,6596,G
Diciembre 5,H2-R6596,POR-MT340,PORTA ENGRANE DE FT125 CON BALEROS,salida,1,Hoja 2,6596,N
Diciembre 6,H2-R6596,POR-MT340,PORTA ENGRANE DE FT125 CON BALEROS,salida,1,Hoja 2,6596,P
Diciembre TOTAL,H2-R6596,POR-MT340,PORTA ENGRANE DE FT125 CON BALEROS,entrada,3,Hoja 2,6596,U
Diciembre TOTAL,H2-R6597,Q06-3037,PORTA ENGRANE DE FT125 CON BALEROS,entrada,2,Hoja 2,6597,U
Diciembre TOTAL,H2-R6598,POR-2415-0602,PORTA ENGRANE DE VENTO EXPRESS 170 SPORT,entrada,3,Hoja 2,6598,U
Diciembre TOTAL,H2-R6599,PSK-015,PORTA ENGRANE DE ROCKETMAN  250 Y CROSSMAX 250,entrada,5,Hoja 2,6599,U
Diciembre TOTAL,H2-R6600,82-003,PORTA ENGRANE DE ROCKEMAN 250,entrada,3,Hoja 2,6600,U
Diciembre TOTAL,H2-R6601,REM166 A166,PORTA ENGRANE DE GN125 -GS125,entrada,2,Hoja 2,6601,U
